country	population	area	gdp	ind
Fiji	839000	18274                                     2977          ind
Djibouti	833000	23200                             768           ind
Bahrain	753000	694                                       16065         ind
Guyana	738000	214969                                    870           ind
Comoros	682000	2235                                      402           ind
Bhutan	658000	47000                                     983           ind
Montenegro	598000	13812                             NA            ind
"Cape Verde"	530000	4033                              1150          ind
"Equatorial Guinea"	507000	28051                     9135          ind
"Solomon Islands"	496000	28896                     321           ind
"Sahrawi Arab Democratic Republic"	480000	NA        NA            ind
Luxembourg	467000	2586                              40577         ind
"Suriname"	458000	163820                            2112          ind
Malta	407000	316                                       6085          ind
Brunei	390000	5765                                      11438         ind
Bahamas	331000	13878                                     6223          ind
Iceland	309699	103000                                    16579         ind
Maldives	306000	298                               988           ind
Barbados	294000	430000                            3386          ind
Belize	288000	22966                                     1213          ind
Vanuatu	226000	12189                                     387	        ind
"Netherlands Antilles"	192000	800                       3204	        dep
Samoa	187000	2831                                      365	        ind
Guam	173000	549                                       NA	        dep
"Saint Lucia"	165000	539                               933	        ind
"S?o Tom? and Pr?ncipe"	158000	964                       79	        ind
"Saint Vincent and the Grenadines"	120000	388       466	        ind
"U.S. Virgin Islands"	111000	347                       NA	        dep
"Federated States of Micronesia"	111000	702       NA	        ind
Grenada	106000	344                                       529	        ind
Aruba	104000	180                                       NA	        dep
Tonga	100000	747                                       224	        ind
Kiribati	95000	726                               60	        ind
Jersey	88200	116                                       NA	        dep
Seychelles	87000	455                               749	        ind
"Antigua and Barbuda"	85000	442                       962	        ind
"Northern Mariana Islands"	84000	464               NA	        dep
Andorra	81200	468                                       NA	        ind
"Isle of Man"	79000	572                               NA	        dep
Dominica	67000	751                               300	        ind
"American Samoa"	67000	199                       NA	        dep
Guernsey	65573	78                                NA	        dep
Bermuda	65000	53                                        NA	        dep
"Marshall Islands"	59000	181                       NA	        ind
Greenland	58000	2175600                           NA	        dep
"Saint Kitts and Nevis"	50000	261                       487	        ind
"Faroe Islands"	48455	1399                              NA	        dep
"Cayman Islands"	47000	264                       NA	        dep
Liechtenstein	35000	160                               NA	        ind
Monaco	33000	1.95                                      NA	        ind
"San Marino"	31000	61                                NA	        ind
Gibraltar	29000	6                                 NA	        dep
"Turks and Caicos Islands"	26000	948               NA	        dep
"British Virgin Islands"	23000	151               NA	        dep
Palau	20000	459                                       NA	        ind
"Cook Islands"	13000	236                               NA	        dep
Anguilla	13000	91                                NA	        dep
Tuvalu	11000	26                                        NA	        ind
Nauru	10000	21                                        NA	        ind
"Saint Helena"	6600	122                               NA	        dep
Montserrat	5900	102                               NA	        dep
"Falkland Islands"	3000	12173                     NA	        dep
Niue	1600	260                                       NA	        dep
Tokelau	1400	12                                        NA	        dep
"Vatican City"	800	0.44                              NA	        ind
"Pitcairn Islands"	50	5                         NA	        dep
